COMPANY & TICKER,,REC DATE,TEAM,RISK,MARKET CAP,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,ATVI,,,,,,,,,
,Markel,10/17/14,Tom,,$13B,$647.00 ,43.90%,84.50%,-40.60%,Add MKL to your Favorites
,MKL,,,,,,,,,
,McCormick,10/17/14,David,10,$23B,$60.81 ,183.20%,84.50%,98.70%,Add MKC to your Favorites
,MKC,,,,,,,,,
,Cognizant Technology Solutions,9/19/14,Tom,,$29B,$43.37 ,24.90%,73.40%,-48.50%,Add CTSH to your Favorites
,CTSH,,,,,,,,,
,Nordstrom,9/19/14,David,18,$3B,$54.50 ,-68.70%,73.40%,-142.00%,Add JWN to your Favorites
,JWN,,,,,,,,,
,Booking Holdings,8/15/14,Tom,,$67B,"$1,270.12 ",28.10%,78.60%,-50.50%,Add BKNG to your Favorites
,BKNG,,,,,,,,,
,Sierra Wireless,8/15/14,David,15,$460M,$23.52 ,-60.50%,78.60%,-139.10%,Add SWIR to your Favorites
,SWIR,,,,,,,,,
,Criteo,7/18/14,Tom,,$770M,$32.11 ,-61.20%,76.80%,-138.00%,Add CRTO to your Favorites
,CRTO Hold,,,,,,,,,
,Idexx Laboratories,7/18/14,David,8,$27B,$65.62 ,379.50%,76.80%,302.70%,Add IDXX to your Favorites
,IDXX Starter,,,,,,,,,
,Sherwin-Williams,6/20/14,Tom,,$48B,$192.22 ,204.20%,78.40%,125.70%,Add SHW to your Favorites
,SHW,,,,,,,,,
,Cognex,6/20/14,David,8,$10B,$18.55 ,206.40%,78.40%,128.00%,Add CGNX to your Favorites
,CGNX,,,,,,,,,
,Lions Gate Entertainment Corporation Class B and Lions Gate Entertainment Corporation Class A Corporate Action Details,5/16/14,David,18,N/A Corporate Action Details,N/A Corporate Action Details,-71.30%,86.90%,-158.20%,N/A Corporate Action Details
,LGF.B LGF.A,,,,,,,,,
,Core Laboratories,4/17/14,Tom,,$867M,$187.70 ,-89.60%,88.60%,-178.20%,Add CLB to your Favorites
,CLB,,,,,,,,,
,Carter's,4/17/14,David,12,$4B,$67.21 ,25.40%,88.60%,-63.20%,Add CRI to your Favorites
,CRI,,,,,,,,,
,Littelfuse,3/21/14,David,12,$4B,$90.51 ,82.70%,88.60%,-6.00%,Add LFUS to your Favorites
,LFUS,,,,,,,,,
,CVS Health,2/21/14,David,10,$84B,$61.62 ,4.70%,92.00%,-87.40%,Add CVS to your Favorites
,CVS,,,,,,,,,
,Jefferies Financial Group Inc. and Spectrum Brands Corporate Action Details,1/17/14,Tom,,N/A Corporate Action Details,N/A Corporate Action Details,-34.20%,92.20%,-126.50%,N/A Corporate Action Details
,JEF SPB,,,,,,,,,
,Cboe Global Markets Inc,1/17/14,David,6,$11B,$45.88 ,115.20%,92.20%,23.00%,Add CBOE to your Favorites
,CBOE,,,,,,,,,
,Hyatt Hotels,10/18/13,David,13,$5B,$44.30 ,19.70%,103.60%,-83.90%,Add H to your Favorites
,H,,,,,,,,,
,Under Armour (C Shares) and Under Armour (A Shares) Corporate Action Details,9/20/13,Tom,,N/A Corporate Action Details,N/A Corporate Action Details,-53.30%,108.10%,-161.40%,N/A Corporate Action Details
,UA UAA,,,,,,,,,
,Sierra Wireless,9/20/13,David,15,$460M,$14.74 ,-37.00%,108.10%,-145.00%,Add SWIR to your Favorites
,SWIR,,,,,,,,,
,Texas Roadhouse,8/16/13,David,10,$4B,$22.20 ,129.20%,115.30%,14.00%,Add TXRH to your Favorites
,TXRH,,,,,,,,,
,Mastercard,6/21/13,Tom,,$298B,$54.85 ,440.50%,124.60%,315.90%,Add MA to your Favorites
,MA Starter,,,,,,,,,
,Netflix,6/21/13,David,11,$200B,$30.99 ,1364.30%,124.60%,1239.70%,NFLX is in your Favorites
,NFLX Now Starter,,,,,,,,,
,Vail Resorts,5/17/13,David,9,$7B,$56.36 ,223.50%,114.90%,108.60%,Add MTN to your Favorites
,MTN,,,,,,,,,
,Mastercard,4/19/13,Tom,,$298B,$49.94 ,493.70%,130.90%,362.80%,Add MA to your Favorites
,MA Starter,,,,,,,,,
,Gartner,3/15/13,Tom,,$11B,$52.09 ,130.40%,130.40%,0.00%,Add IT to your Favorites
,IT,,,,,,,,,
,CarMax,3/15/13,David,14,$15B,$41.66 ,120.50%,130.40%,-9.90%,Add KMX to your Favorites
,KMX,,,,,,,,,
,Chipotle Mexican Grill,2/15/13,Tom,,$28B,$314.19 ,221.70%,137.10%,84.60%,CMG is in your Favorites
,CMG,,,,,,,,,
,Williams-Sonoma,12/21/12,Tom,,$7B,$35.72 ,139.80%,152.70%,-13.00%,Add WSM to your Favorites
,WSM,,,,,,,,,
,Tesla,11/16/12,Tom,,$186B,$31.84 ,3043.50%,166.50%,2877.10%,TSLA is in your Favorites
,TSLA Now,,,,,,,,,
,Intuit,11/16/12,David,7,$75B,$54.93 ,421.20%,166.50%,254.70%,Add INTU to your Favorites
,INTU Starter,,,,,,,,,
,Westinghouse Air Brake Technologies,10/19/12,Tom,,$11B,$40.08 ,50.10%,153.40%,-103.30%,Add WAB to your Favorites
,WAB,,,,,,,,,
,Darling Ingredients,9/21/12,David,16,$4B,$18.14 ,32.10%,149.10%,-117.00%,Add DAR to your Favorites
,DAR,,,,,,,,,
,Booking Holdings,8/17/12,Tom,,$67B,$588.78 ,176.30%,157.00%,19.30%,Add BKNG to your Favorites
,BKNG,,,,,,,,,
,Kinder Morgan,8/17/12,David,11,$35B,$24.71 ,-37.20%,157.00%,-194.20%,Add KMI to your Favorites
,KMI,,,,,,,,,
,Alphabet (C shares) and Alphabet (A shares) Corporate Action Details,7/20/12,Tom,,N/A Corporate Action Details,N/A Corporate Action Details,368.50%,168.00%,200.50%,N/A Corporate Action Details
,GOOG GOOGL,,,,,,,,,
,TransDigm Group,7/20/12,David,12,$25B,$67.00 ,591.00%,168.00%,423.00%,Add TDG to your Favorites
,TDG,,,,,,,,,
,3D Systems,6/15/12,David,17,$871M,$19.74 ,-62.90%,172.50%,-235.30%,Add DDD to your Favorites
,DDD,,,,,,,,,
,Robert Half International,5/16/12,Tom,,$6B,$24.58 ,107.90%,176.70%,-68.80%,Add RHI to your Favorites
,RHI,,,,,,,,,
,LKQ,5/16/12,David,14,$8B,$18.08 ,43.50%,176.70%,-133.20%,Add LKQ to your Favorites
,LKQ,,,,,,,,,
,Heico,4/20/12,Tom,,$13B,$15.74 ,606.90%,166.40%,440.50%,Add HEI to your Favorites
,HEI,,,,,,,,,
,Clean Energy Fuels,3/16/12,David,13,$428M,$21.05 ,-89.90%,162.00%,-251.80%,Add CLNE to your Favorites
,CLNE,,,,,,,,,
,Ulta Beauty,1/20/12,Tom,,$12B,$75.42 ,181.40%,180.70%,0.70%,Add ULTA to your Favorites
,ULTA,,,,,,,,,
,3D Systems,1/20/12,David,17,$871M,$12.27 ,-40.20%,180.70%,-220.90%,Add DDD to your Favorites
,DDD,,,,,,,,,
,Oceaneering International,11/18/11,Tom,,$663M,$39.98 ,-83.30%,204.80%,-288.10%,Add OII to your Favorites
,OII,,,,,,,,,
,Starbucks,11/18/11,David,9,$88B,$18.25 ,313.00%,204.80%,108.20%,Add SBUX to your Favorites
,SBUX,,,,,,,,,
,Pegasystems,10/21/11,David,11,$8B,$17.21 ,449.70%,199.90%,249.80%,Add PEGA to your Favorites
,PEGA,,,,,,,,,
,Williams-Sonoma,9/16/11,Tom,,$7B,$27.14 ,215.50%,205.90%,9.60%,Add WSM to your Favorites
,WSM,,,,,,,,,
,Cummins,9/16/11,David,10,$26B,$78.17 ,123.00%,205.90%,-83.00%,Add CMI to your Favorites
,CMI,,,,,,,,,
,Corning,8/19/11,David,11,$20B,$11.49 ,132.50%,231.70%,-99.20%,Add GLW to your Favorites
,GLW,,,,,,,,,
,Balchem,7/15/11,Tom,,$3B,$42.98 ,111.00%,183.80%,-72.80%,Add BCPC to your Favorites
,BCPC,,,,,,,,,
,Apple,6/17/11,David,6,"$1,516B",$39.61 ,783.00%,194.10%,588.80%,AAPL is in your Favorites
,AAPL Starter,,,,,,,,,
,Sina and Weibo Corporate Action Details,4/15/11,David,12,N/A Corporate Action Details,N/A Corporate Action Details,-68.40%,184.40%,-252.80%,N/A Corporate Action Details
,SINA WB,,,,,,,,,
,II-VI,3/18/11,David,15,$4B,$23.16 ,112.30%,193.80%,-81.50%,Add IIVI to your Favorites
,IIVI,,,,,,,,,
,Tennant Company,1/21/11,Tom,,$1B,$33.62 ,89.70%,193.80%,-104.10%,Add TNC to your Favorites
,TNC,,,,,,,,,
,Cognex,1/21/11,David,8,$10B,$6.85 ,729.40%,193.80%,535.60%,Add CGNX to your Favorites
,CGNX,,,,,,,,,
,Amazon,12/17/10,David,8,"$1,334B",$177.58 ,1406.40%,203.60%,1202.80%,AMZN is in your Favorites
,AMZN Starter,,,,,,,,,
,Watsco,11/19/10,Tom,,$6B,$42.19 ,322.60%,215.20%,107.40%,Add WSO to your Favorites
,WSO,,,,,,,,,
,Gilead Sciences,9/17/10,David,10,$97B,$14.87 ,421.10%,237.10%,184.00%,Add GILD to your Favorites
,GILD,,,,,,,,,
,Discovery (C shares),8/20/10,David,10,$14B,$16.78 ,20.00%,254.70%,-234.70%,Add DISCK to your Favorites
,DISCK,,,,,,,,,
,Nike,7/16/10,Tom,,$149B,$15.21 ,529.60%,257.80%,271.80%,Add NKE to your Favorites
,NKE,,,,,,,,,
,Booking Holdings,6/18/10,David,9,$67B,$193.09 ,742.60%,241.40%,501.20%,Add BKNG to your Favorites
,BKNG,,,,,,,,,
,Boston Beer,5/21/10,David,9,$6B,$58.62 ,810.60%,251.30%,559.30%,Add SAM to your Favorites
,SAM,,,,,,,,,
,Discovery (C shares) Corporate Action Details,3/19/10,Tom,,$14B,$8.43 ,110.60%,230.50%,-119.90%,Add DISCK to your Favorites
,DISCK,,,,,,,,,
,NVIDIA,12/18/09,David,5,$228B,$15.47 ,2294.00%,249.50%,2044.50%,NVDA is in your Favorites
,NVDA Now,,,,,,,,,
,Aflac,11/20/09,Tom,,$26B,$17.04 ,114.80%,253.50%,-138.80%,Add AFL to your Favorites
,AFL,,,,,,,,,
,Hasbro,10/16/09,David,12,$10B,$21.75 ,228.00%,255.60%,-27.60%,Add HAS to your Favorites
,HAS,,,,,,,,,
,Dassault Systemes,9/18/09,David,11,$40B,$26.34 ,542.60%,262.50%,280.10%,Add DASTY to your Favorites
,DASTY,,,,,,,,,
,Adobe Systems,8/21/09,David,8,$206B,$32.84 ,1203.30%,277.90%,925.40%,ADBE is in your Favorites
,ADBE,,,,,,,,,
,Interactive Brokers,6/19/09,Tom,,$17B,$10.99 ,278.20%,322.60%,-44.40%,Add IBKR to your Favorites
,IBKR,,,,,,,,,
,Berkshire Hathaway (B shares),5/15/09,Tom,,$438B,$58.00 ,209.90%,342.00%,-132.10%,BRK.B is in your Favorites
,BRK.B,,,,,,,,,
,McKesson,2/20/09,David,12,$25B,$40.75 ,284.50%,409.70%,-125.20%,Add MCK to your Favorites
,MCK,,,,,,,,,
,National Instruments,1/16/09,Tom,,$5B,$11.45 ,238.70%,363.50%,-124.80%,Add NATI to your Favorites
,NATI,,,,,,,,,
,Cintas,12/19/08,Tom,,$28B,$18.58 ,1354.40%,344.80%,1009.60%,Add CTAS to your Favorites
,CTAS,,,,,,,,,
,Walt Disney Corporate Action Details,12/19/08,David,9,$207B,$61.88 ,651.50%,344.80%,306.70%,DIS is in your Favorites
,DIS,,,,,,,,,
,National Instruments,10/17/08,Tom,,$5B,$13.06 ,196.80%,322.20%,-125.40%,Add NATI to your Favorites
,NATI,,,,,,,,,
,Activision Blizzard,9/19/08,David,10,$59B,$15.52 ,393.40%,216.90%,176.50%,Add ATVI to your Favorites
,ATVI,,,,,,,,,
,Illumina,7/18/08,David,6,$54B,$43.12 ,755.10%,216.80%,538.30%,Add ILMN to your Favorites
,ILMN,,,,,,,,,
,Apple,6/20/08,David,6,"$1,516B",$21.68 ,1513.40%,203.50%,1310.00%,AAPL is in your Favorites
,AAPL Starter,,,,,,,,,
,Sherwin-Williams,3/20/08,Tom,,$48B,$45.33 ,1189.80%,202.40%,987.40%,Add SHW to your Favorites
,SHW,,,,,,,,,
,Canadian National Railway,3/20/08,David,6,$84B,$19.25 ,354.40%,202.40%,152.00%,Add CNI to your Favorites
,CNI,,,,,,,,,
,Apple,1/18/08,David,6,"$1,516B",$19.96 ,1652.50%,204.60%,1447.90%,AAPL is in your Favorites
,AAPL Starter,,,,,,,,,
,Netflix,6/15/07,Tom,,$200B,$2.82 ,16013.80%,166.20%,15847.60%,NFLX is in your Favorites
,NFLX,,,,,,,,,
,Berkshire Hathaway (B shares),4/20/07,Tom,,$438B,$72.56 ,147.70%,175.80%,-28.20%,BRK.B is in your Favorites
,BRK.B,,,,,,,,,
,Meritage Homes,3/16/07,Tom,,$3B,$32.34 ,127.00%,195.50%,-68.50%,Add MTH to your Favorites
,MTH,,,,,,,,,
,Arlo Technologies and Netgear Corporate Action Details,3/16/07,David,13,N/A Corporate Action Details,N/A Corporate Action Details,8.70%,195.50%,-186.80%,N/A Corporate Action Details
,ARLO NTGR,,,,,,,,,
,FedEx,12/15/06,David,10,$36B,$104.10 ,32.20%,188.60%,-156.40%,Add FDX to your Favorites
,FDX,,,,,,,,,
,Netflix,9/15/06,David,11,$200B,$3.25 ,13879.00%,213.60%,13665.50%,NFLX is in your Favorites
,NFLX Now Starter,,,,,,,,,
,Aflac,6/16/06,Tom,,$26B,$16.68 ,119.50%,232.30%,-112.80%,Add AFL to your Favorites
,AFL,,,,,,,,,
,Netflix,6/16/06,David,11,$200B,$3.87 ,11611.10%,232.30%,11378.80%,NFLX is in your Favorites
,NFLX Now Starter,,,,,,,,,
,Starbucks,2/17/06,David,9,$88B,$14.94 ,404.70%,225.10%,179.60%,Add SBUX to your Favorites
,SBUX,,,,,,,,,
,Weibo and Sina Corporate Action Details,11/18/05,David,12,N/A Corporate Action Details,N/A Corporate Action Details,58.00%,236.80%,-178.70%,N/A Corporate Action Details
,WB SINA,,,,,,,,,
,NVIDIA,4/15/05,David,5,$228B,$6.55 ,5558.00%,272.10%,5286.00%,NVDA is in your Favorites
,NVDA Now,,,,,,,,,
,Safety Insurance Group,2/18/05,Tom,,$1B,$17.11 ,339.70%,254.70%,85.00%,Add SAFT to your Favorites
,SAFT,,,,,,,,,
,Silicon Laboratories,1/21/05,Tom,,$4B,$28.26 ,245.00%,265.60%,-20.60%,Add SLAB to your Favorites
,SLAB,,,,,,,,,
,Netflix,12/17/04,David,11,$200B,$1.85 ,24368.70%,258.00%,24110.70%,NFLX is in your Favorites
,NFLX Now Starter,,,,,,,,,
,Netflix,10/1/04,David,11,$200B,$2.33 ,19349.10%,279.40%,19069.80%,NFLX is in your Favorites
,NFLX Now Starter,,,,,,,,,
,Walt Disney Corporate Action Details,8/20/04,David,9,$207B,$29.58 ,1472.40%,291.50%,1180.80%,DIS is in your Favorites
,DIS,,,,,,,,,
,Weibo and Sina Corporate Action Details,7/16/04,David,12,N/A Corporate Action Details,N/A Corporate Action Details,59.60%,291.20%,-231.60%,N/A Corporate Action Details
,WB SINA,,,,,,,,,
,UnitedHealth Group,5/21/04,Tom,,$276B,$26.85 ,984.60%,294.90%,689.60%,Add UNH to your Favorites
,UNH,,,,,,,,,
,Booking Holdings,5/21/04,David,9,$67B,$23.71 ,6761.70%,294.90%,6466.80%,Add BKNG to your Favorites
,BKNG,,,,,,,,,
,BMW,4/16/04,David,14,$37B,$42.30 ,51.30%,281.40%,-230.10%,Add BAMXF to your Favorites
,BAMXF,,,,,,,,,
,Walt Disney Corporate Action Details,7/11/03,David,9,$207B,$57.27 ,850.70%,339.20%,511.60%,DIS is in your Favorites
,DIS,,,,,,,,,
,Hasbro,4/11/03,David,12,$10B,$9.62 ,641.60%,407.00%,234.60%,Add HAS to your Favorites
,HAS,,,,,,,,,
,Walt Disney Corporate Action Details,3/7/03,David,9,$207B,$44.86 ,1113.70%,432.00%,681.70%,DIS is in your Favorites
,DIS,,,,,,,,,
,Activision Blizzard Corporate Action Details,2/7/03,David,10,$59B,$8.61 ,4683.90%,432.50%,4251.40%,Add ATVI to your Favorites
,ATVI,,,,,,,,,
,BorgWarner,1/10/03,Tom,,$7B,$5.76 ,494.60%,376.90%,117.70%,Add BWA to your Favorites
,BWA,,,,,,,,,
,FedEx,1/10/03,David,10,$36B,$51.20 ,168.80%,376.90%,-208.10%,Add FDX to your Favorites
,FDX,,,,,,,,,
,UnitedHealth Group Corporate Action Details,12/13/02,Tom,,$276B,$141.82 ,2247.20%,398.10%,1849.10%,Add UNH to your Favorites
,UNH,,,,,,,,,
,Walt Disney Corporate Action Details,11/8/02,David,9,$207B,$11.81 ,3839.40%,396.10%,3443.30%,DIS is in your Favorites
,DIS,,,,,,,,,
,Amazon,9/6/02,David,8,"$1,334B",$15.31 ,17372.30%,398.10%,16974.20%,AMZN is in your Favorites
,AMZN Starter,,,,,,,,,
,Activision Blizzard Corporate Action Details,8/9/02,David,10,$59B,$16.77 ,2356.40%,390.70%,1965.70%,Add ATVI to your Favorites
,ATVI,,,,,,,,,
,Walt Disney Corporate Action Details,6/7/02,David,9,$207B,$7.35 ,6228.80%,335.10%,5893.70%,DIS is in your Favorites
,DIS,,,,,,,,,
,eBay and PayPal Holdings Corporate Action Details,5/10/02,David,9,N/A Corporate Action Details,N/A Corporate Action Details,1139.40%,324.40%,815.00%,N/A Corporate Action Details
,EBAY PYPL,,,,,,,,,
,Costco Wholesale,4/12/02,Tom,,$132B,$30.45 ,885.00%,303.40%,581.60%,COST is in your Favorites
,COST,,,,,,,,,