,TICKER,REC DATE,RISK,ADJ REC PRICE,RETURN,S&P RETURN
0,STAA,6/25/20,10.0,,0.0,0.0
1,HUBS,6/11/20,12.0,200.86,0.091,0.017
2,LVGO,5/28/20,13.0,57.85,0.27699999999999997,0.008
3,QDEL,5/14/20,10.0,185.73,0.08,0.07200000000000001
4,BYND,4/23/20,15.0,99.78,0.517,0.094
5,DOCU,4/9/20,13.0,90.63,0.809,0.098
6,QDEL,3/26/20,10.0,88.97,1.254,0.166
7,CSGP,3/12/20,8.0,612.93,0.128,0.237
8,SE,2/27/20,15.0,45.07,1.3,0.031
9,NEE,2/13/20,14.0,272.54,-0.113,-0.08900000000000001
10,PINS,1/23/20,10.0,22.61,0.025,-0.075
11,ISRG,1/9/20,7.0,585.79,-0.053,-0.06
12,FRPT,12/19/19,10.0,57.84,0.5,-0.039
13,PODD,12/5/19,14.0,184.23,0.043,-0.011000000000000001
14,PTON,11/27/19,13.0,32.16,0.727,-0.022000000000000002
15,ETSY,11/14/19,11.0,41.84,1.3459999999999999,-0.003
16,DDOG,10/24/19,10.0,32.5,1.723,0.027000000000000003
17,NVCR,10/10/19,9.0,75.49,-0.214,0.053
18,ZUO,9/26/19,9.0,15.99,-0.2,0.04
19,TDOC,9/12/19,10.0,69.05,1.8530000000000002,0.028999999999999998
20,FSLY,8/22/19,14.0,24.53,2.101,0.061
21,EDU,8/8/19,10.0,104.22,0.268,0.057
22,RGEN,7/25/19,12.0,90.9,0.245,0.034
23,ROKU,7/11/19,10.0,104.54,0.18,0.036000000000000004
24,NVCR,6/27/19,9.0,60.85,-0.025,0.064
25,ZG,6/13/19,14.0,45.35,0.301,0.076
26,UBER,5/23/19,14.0,40.47,-0.247,0.10400000000000001
27,CRM,5/9/19,8.0,156.31,0.187,0.087
28,SWAV,4/25/19,16.0,38.54,0.165,0.067
29,FIVE,4/11/19,10.0,133.55,-0.203,0.08199999999999999
30,XLNX,3/28/19,7.0,124.15,-0.252,0.11
31,ROKU,3/14/19,10.0,61.82,0.995,0.114
32,RDFN,2/28/19,16.0,19.97,0.907,0.124
33,GH,2/14/19,15.0,48.87,0.6629999999999999,0.142
34,NEE,1/24/19,14.0,174.15,0.38799999999999996,0.188
35,SKX,1/10/19,11.0,24.9,0.221,0.209
36,BILI,12/20/18,13.0,14.63,2.01,0.27399999999999997
37,ZEN,12/6/18,10.0,59.88,0.365,0.16699999999999998
38,GH,11/21/18,15.0,37.16,1.187,0.188
39,UPWK,11/8/18,10.0,18.07,-0.285,0.12300000000000001
40,UPWK,10/25/18,10.0,19.5,-0.337,0.166
41,EA,10/11/18,8.0,103.6,0.263,0.157
42,GDDY,9/27/18,9.0,83.2,-0.092,0.084
43,TWLO,9/13/18,14.0,85.31,1.4869999999999999,0.08800000000000001
44,SFIX,8/23/18,11.0,36.57,-0.36200000000000004,0.10800000000000001
45,YNDX,8/9/18,12.0,31.82,0.581,0.11
46,DOCU,7/26/18,13.0,55.51,1.953,0.11800000000000001
47,MDB,7/12/18,11.0,57.88,2.764,0.133
48,BZUN,6/28/18,11.0,54.55,-0.27,0.16899999999999998
49,IQ,6/14/18,17.0,40.51,-0.434,0.141
50,CRM,5/24/18,8.0,106.58,1.102,0.166
51,HUBS,5/10/18,12.0,117.65,0.862,0.16899999999999998
52,IQ,4/25/18,17.0,18.01,0.273,0.207
53,AAXN,4/25/18,9.0,43.0,1.173,0.207
54,BMY,3/28/18,13.0,47.18,0.251,0.22399999999999998
55,NTNX,3/28/18,13.0,47.94,-0.527,0.22399999999999998
56,PANW,2/28/18,10.0,173.37,0.289,0.177
57,MDB,2/28/18,11.0,32.21,5.763,0.177
58,ANAB,1/24/18,18.0,116.91,-0.8009999999999999,0.128
59,AYX,1/24/18,11.0,27.83,4.688,0.128
60,EDIT,12/20/17,17.0,24.89,0.235,0.196
61,CWH,11/22/17,11.0,38.01,-0.332,0.23600000000000002
62,TDOC,11/22/17,10.0,34.0,4.794,0.23600000000000002
63,ABMD,10/25/17,6.0,171.37,0.41,0.258
64,EDIT,9/27/17,17.0,19.93,0.542,0.285
65,TCEHY,9/27/17,5.0,43.0,0.46399999999999997,0.285
66,ALGN,8/23/17,11.0,172.85,0.491,0.32
67,HUBS,8/23/17,12.0,69.4,2.157,0.32
68,FSLR,7/26/17,13.0,45.44,0.08,0.305
69,LYV,7/26/17,11.0,36.7,0.204,0.305
70,BLUE,6/28/17,15.0,109.1,-0.41700000000000004,0.326
71,TTD,5/24/17,12.0,51.5,6.696000000000001,0.349
72,MOMO,5/24/17,7.0,36.76,-0.498,0.349
73,MELI,4/26/17,10.0,227.91,3.185,0.361
74,ABMD,4/26/17,6.0,130.08,0.858,0.361
75,VEEV,3/22/17,7.0,48.99,3.783,0.385
76,LYV,3/22/17,11.0,28.75,0.537,0.385
77,TTD,2/22/17,12.0,34.3,10.556,0.38
78,TREX,2/22/17,10.0,32.9,2.7289999999999996,0.38
79,TWLO,1/25/17,14.0,29.05,6.303999999999999,0.42100000000000004
80,TWTR,1/25/17,8.0,16.73,0.897,0.42100000000000004
81,PI,12/21/16,15.0,38.33,-0.295,0.444
82,CWH,12/21/16,11.0,28.33,-0.10300000000000001,0.444
83,UI,11/23/16,9.0,55.95,1.979,0.486
84,ETSY,11/23/16,11.0,13.12,6.482,0.486
85,TWOU,10/26/16,15.0,35.74,-0.003,0.535
86,RMD,10/26/16,7.0,57.25,2.176,0.535
87,TEAM,9/28/16,8.0,30.0,4.894,0.514
88,CMG,9/28/16,11.0,418.31,1.505,0.514
89,IT,8/24/16,11.0,90.11,0.284,0.514
90,UA,8/24/16,14.0,38.88,-0.779,0.514
91,MSTR,7/27/16,10.0,182.98,-0.375,0.524
92,TWOU,7/27/16,15.0,35.25,0.01,0.524
93,NUVA,6/22/16,16.0,57.79,-0.051,0.585
94,EA,6/22/16,8.0,74.8,0.75,0.585
95,NTES,5/25/16,6.0,164.26,1.663,0.584
96,AX,4/27/16,11.0,19.43,0.036000000000000004,0.584
97,AVGO,4/27/16,11.0,195.08,1.3019999999999998,0.584
98,SHOP,3/23/16,12.0,26.2,33.236999999999995,0.632
99,WDAY,3/23/16,8.0,71.26,1.527,0.632
100,SHOP,2/24/16,12.0,21.02,41.674,0.726
101,PLNT,1/27/16,13.0,11.93,4.499,0.773
102,ICE,1/27/16,11.0,47.73,0.9,0.773
103,CYBR,11/25/15,11.0,44.42,1.178,0.603
104,TTWO,11/25/15,7.0,35.62,2.927,0.603
105,AAXN,10/28/15,9.0,23.48,2.9789999999999996,0.606
106,BIIB,10/28/15,10.0,,0.076,0.583
107,SKX,9/23/15,11.0,47.57,-0.361,0.7340000000000001
108,W,8/26/15,13.0,43.05,3.662,0.735
109,NXPI,7/22/15,14.0,88.02,0.284,0.596
110,SWKS,7/22/15,8.0,92.12,0.37200000000000005,0.596
111,PLAY Hold,6/24/15,11.0,35.95,-0.606,0.603
112,LGF.B,5/27/15,18.0,7.99,-0.7759999999999999,0.594
113,CERN,4/22/15,10.0,71.47,-0.04,0.609
114,EEFT,3/25/15,10.0,56.56,0.63,0.648
115,TRIP,2/25/15,13.0,79.3,-0.7709999999999999,0.609
116,BIDU,2/25/15,7.0,203.53,-0.40399999999999997,0.609
117,TRUE Hold,1/28/15,13.0,17.93,-0.85,0.703
118,BLUE,1/28/15,15.0,94.82,-0.32899999999999996,0.703
119,MELI,12/23/14,10.0,125.11,6.624,0.64
120,ZEN,12/23/14,10.0,24.55,2.33,0.64
121,SSNC,11/25/14,11.0,24.23,1.29,0.654
122,ANET,11/25/14,5.0,73.74,1.838,0.654
123,VEEV,9/24/14,7.0,28.83,7.127000000000001,0.7170000000000001
124,PRLB,8/27/14,16.0,76.05,0.413,0.718
125,MSTR,7/23/14,10.0,138.37,-0.17300000000000001,0.733
126,CAMP Hold,6/25/14,19.0,20.47,-0.632,0.76
127,ALGN,6/25/14,11.0,54.05,3.767,0.76
128,PODD,5/28/14,14.0,36.45,4.27,0.8079999999999999
129,SPLK,5/28/14,12.0,48.88,2.9,0.8079999999999999
130,FIVE,4/23/14,10.0,38.56,1.76,0.846
131,PANW,4/23/14,10.0,69.05,2.235,0.846
132,NUVA,3/26/14,16.0,37.23,0.474,0.871
133,ZG Z,2/26/14,14.0,,1.1079999999999999,0.8809999999999999
134,UI,1/22/14,9.0,42.78,2.8960000000000004,0.8859999999999999
135,TWTR,12/18/13,8.0,55.51,-0.428,0.925
136,IONS,11/27/13,11.0,39.28,0.505,0.9309999999999999
137,YELP,11/27/13,13.0,61.54,-0.628,0.9309999999999999
138,MIDD,10/23/13,15.0,74.88,0.017,1.003
139,CSGP,9/25/13,8.0,164.78,3.196,1.069
140,ALNY,7/24/13,13.0,44.95,2.376,1.0859999999999999
141,SIRI,6/26/13,8.0,12.23,-0.525,1.196
142,GTLS,6/26/13,13.0,91.36,-0.56,1.196
143,AX,5/22/13,11.0,9.81,1.052,1.131
144,SGEN,4/24/13,13.0,36.53,3.511,1.239
145,MIDD,3/27/13,15.0,50.19,0.517,1.265
146,EQIX,3/27/13,12.0,175.92,2.92,1.265
147,BMY,2/27/13,13.0,26.96,1.19,1.338
148,ISRG,1/23/13,7.0,189.02,1.936,1.3780000000000001
149,TILE,12/19/12,14.0,14.52,-0.48100000000000004,1.48
150,AMCX,12/19/12,13.0,49.7,-0.494,1.48
151,AX,11/21/12,11.0,6.52,2.089,1.565
152,MTZ,11/21/12,8.0,22.54,0.85,1.565
153,FB,10/24/12,5.0,23.23,9.074,1.538
154,YNDX,9/26/12,12.0,23.35,1.1540000000000001,1.4980000000000002
155,FB,7/25/12,5.0,29.34,6.976,1.6880000000000002
156,TREX,7/25/12,10.0,6.77,17.129,1.6880000000000002
157,PRLB,6/27/12,16.0,30.02,2.58,1.704
158,TRIP,5/23/12,13.0,40.15,-0.5479999999999999,1.736
159,Z ZG,4/25/12,14.0,,4.419,1.6
160,MELI,1/25/12,10.0,86.09,10.079,1.742
161,ISRG,1/25/12,7.0,151.89,2.654,1.742
162,CRM,12/21/11,8.0,24.76,6.495,1.9280000000000002
163,TSLA,11/23/11,17.0,31.45,29.552,2.14
164,ZG Z,9/28/11,14.0,,5.4,2.181
165,EBS,4/27/11,15.0,22.28,2.283,1.726
166,NXPI,3/23/11,14.0,26.39,3.284,1.8519999999999999
167,LULU,12/22/10,8.0,35.85,7.235,1.953
168,JOBS,7/28/10,9.0,12.09,4.692,2.391
169,OLED,6/23/10,10.0,17.54,7.428,2.439
170,EDU,4/28/10,10.0,22.13,4.968999999999999,2.164
171,LPSN,2/24/10,12.0,6.73,4.68,2.42
172,EXAS,2/24/10,15.0,22.49,2.795,2.42
173,AMT,12/23/09,14.0,36.74,5.917999999999999,2.385
174,FDS,8/19/09,9.0,48.43,5.1370000000000005,2.833
175,GOOG GOOGL,7/15/09,5.0,,5.55,3.105
176,CPRT,4/15/09,8.0,7.54,9.777000000000001,3.52
177,CHKP,4/15/09,9.0,24.17,3.345,3.52
178,OTEX,3/18/09,14.0,7.25,4.845,3.8560000000000003
179,MELI,2/18/09,10.0,14.13,66.509,3.907
180,MNST,1/21/09,7.0,5.56,11.254000000000001,3.616
181,CRM,1/21/09,8.0,6.89,25.921,3.616
182,ISRG,11/19/08,7.0,40.36,12.749,3.833
183,SOHU,11/19/08,13.0,8.71,-0.758,3.833
184,BIDU,8/20/08,7.0,32.12,2.778,2.079
185,AVAV,8/20/08,11.0,32.95,1.179,2.079
186,VMW,5/21/08,11.0,54.32,1.8119999999999998,1.837
187,GOOGL GOOG,5/21/08,5.0,,4.218,1.837
188,IPGP,3/19/08,8.0,13.88,10.328,2.048
189,TTWO,12/19/07,7.0,18.75,6.46,1.74
190,INFN,11/21/07,15.0,19.99,-0.7120000000000001,1.814
191,TTWO,9/19/07,7.0,16.93,7.2620000000000005,1.6159999999999999
192,UAA UA,9/19/07,14.0,,0.111,1.6159999999999999
193,VRTX,7/18/07,7.0,29.15,8.988999999999999,1.5959999999999999
194,BMRN,5/16/07,13.0,18.16,5.643,1.6580000000000001
195,IPGP,4/18/07,8.0,20.52,6.6610000000000005,1.7380000000000002
196,EXEL,3/21/07,9.0,10.0,1.345,1.8119999999999998
197,CMG,1/17/07,11.0,60.6,16.293,1.831
198,BLKB,11/15/06,15.0,22.99,1.4880000000000002,1.909
199,BIDU,10/18/06,7.0,8.34,13.558,1.98
200,MNTA,8/16/06,16.0,15.41,1.449,2.151
201,UA UAA,7/19/06,14.0,,0.7609999999999999,2.246
202,ISRG,2/15/06,7.0,34.06,15.295,2.219
203,IRBT,12/21/05,13.0,31.41,1.541,2.273
204,EXEL,10/19/05,9.0,7.34,2.195,2.469
205,ISRG,9/21/05,7.0,23.23,22.893,2.432
206,OLED,5/18/05,10.0,8.97,15.472999999999999,2.524
207,ISRG,3/16/05,7.0,14.72,36.693000000000005,2.5269999999999997
208,ICE,1/19/05,11.0,28.83,6.934,2.549
209,VRTX,1/19/05,7.0,10.48,26.784000000000002,2.549
210,NTES,12/15/04,6.0,11.3,37.723,2.492
