,TICKER,REC DATE,TEAM,RISK,ADJ REC PRICE,RETURN,S&P RETURN
0,WEX,6/18/20,David,15.0,171.53,0.006999999999999999,-0.006
1,CRWD,6/4/20,Tom,,95.98,0.053,-0.004
2,GMED,5/21/20,David,8.0,54.59,-0.11,0.052000000000000005
3,NOW,5/7/20,Tom,,381.83,0.047,0.078
4,ZM,4/16/20,David,8.0,150.26,0.62,0.111
5,SHOP,4/2/20,Tom,,346.3,1.544,0.231
6,ZM,3/19/20,David,8.0,123.77,0.9670000000000001,0.292
7,LK Hold,3/5/20,Tom,,41.14,-0.907,0.031
8,DXCM,2/20/20,David,9.0,302.51,0.353,-0.075
9,NVTA,2/6/20,Tom,,22.16,-0.156,-0.066
10,NICE,1/16/20,David,10.0,176.27,0.106,-0.057999999999999996
11,TSLA,1/2/20,Tom,,430.26,1.3259999999999998,-0.04
12,ACN,12/19/19,David,5.0,206.57,-0.024,-0.024
13,HUBS,12/5/19,Tom,,153.55,0.433,0.004
14,NFLX,11/21/19,David,11.0,311.69,0.456,0.01
15,TTD,11/7/19,Tom,,192.75,1.048,0.017
16,NBIX,10/17/19,David,9.0,96.85,0.33,0.048
17,ZM,10/3/19,Tom,,76.83,2.169,0.08
18,SEDG,9/19/19,David,12.0,89.42,0.718,0.046
19,WORK,9/5/19,Tom,,30.01,0.10400000000000001,0.057
20,JKHY,8/15/19,David,9.0,140.46,0.29100000000000004,0.106
21,CWBHF,8/1/19,Tom,,20.32,-0.773,0.068
22,ZNGA,7/18/19,David,12.0,6.3,0.475,0.054000000000000006
23,ZM,7/3/19,Tom,,90.45,1.692,0.054000000000000006
24,WM,6/20/19,David,9.0,113.95,-0.107,0.07
25,HQY,6/6/19,Tom,,65.69,-0.08,0.11199999999999999
26,SNPS,5/16/19,David,8.0,123.17,0.498,0.10099999999999999
27,WIX,5/2/19,Tom,,136.8,0.731,0.087
28,ZNGA,4/18/19,David,12.0,5.44,0.708,0.092
29,OLLI,4/4/19,Tom,,87.68,0.16399999999999998,0.102
30,HRC,3/21/19,David,14.0,105.96,-0.073,0.11199999999999999
31,TWLO,3/7/19,Tom,,115.5,0.821,0.156
32,NTDOY,2/21/19,David,8.0,34.77,0.685,0.146
33,APPN,2/7/19,Tom,,34.19,0.514,0.177
34,HA,1/17/19,David,13.0,32.78,-0.522,0.21
35,TWLO,1/3/19,Tom,,81.25,1.588,0.303
36,TLK,12/13/18,David,8.0,25.92,-0.12,0.205
37,MA,11/29/18,Tom,,195.01,0.52,0.168
38,ZBRA,11/15/18,David,9.0,178.91,0.478,0.172
39,ZS,11/1/18,Tom,,38.96,1.787,0.16899999999999998
40,AMZN,10/18/18,David,8.0,1770.72,0.511,0.158
41,SQ,10/4/18,Tom,,94.49,0.037000000000000005,0.105
42,UNP,9/20/18,David,7.0,157.78,0.064,0.095
43,SFIX,9/6/18,Tom,,45.19,-0.465,0.11599999999999999
44,ALK,8/16/18,David,13.0,61.97,-0.414,0.132
45,ANET,8/2/18,Tom,,271.85,-0.198,0.139
46,BB,7/19/18,David,13.0,10.33,-0.51,0.14800000000000002
47,SFIX,7/5/18,Tom,,28.83,-0.162,0.17800000000000002
48,AMGN,6/21/18,David,9.0,175.59,0.359,0.172
49,WIX,6/7/18,Tom,,92.9,1.55,0.165
50,NEWR,5/17/18,David,12.0,90.13,-0.226,0.187
51,SHOP,5/3/18,Tom,,135.17,5.518,0.23
52,SHOP,4/20/18,Tom,,126.79,5.9479999999999995,0.212
53,OKTA,4/20/18,David,9.0,41.97,3.722,0.212
54,MKL,3/15/18,Tom,,1139.36,-0.183,0.179
55,CRUS,3/15/18,David,12.0,43.06,0.452,0.179
56,VRNS,2/16/18,Tom,,56.3,0.5539999999999999,0.188
57,FICO,2/16/18,David,10.0,166.48,1.534,0.188
58,PAYC,1/19/18,Tom,,91.19,2.489,0.157
59,OKTA,1/19/18,David,9.0,29.18,5.792000000000001,0.157
60,APPN,12/15/17,Tom,,20.86,1.482,0.217
61,MTN,12/15/17,David,9.0,204.29,-0.10800000000000001,0.217
62,TLND,11/17/17,Tom,,41.83,-0.163,0.264
63,CME,11/17/17,David,8.0,127.54,0.376,0.264
64,TTD,10/20/17,Tom,,63.62,5.205,0.26899999999999996
65,HCA,10/20/17,David,12.0,78.84,0.237,0.26899999999999996
66,ANET,9/15/17,Tom,,176.96,0.23199999999999998,0.308
67,MMM,9/15/17,David,9.0,196.31,-0.19399999999999998,0.308
68,LOPE,8/18/17,Tom,,80.01,0.19399999999999998,0.35100000000000003
69,JD,8/18/17,David,10.0,40.13,0.461,0.35100000000000003
70,IRBT,7/21/17,Tom,,88.47,-0.08,0.32799999999999996
71,CGNX,7/21/17,David,8.0,45.38,0.253,0.32799999999999996
72,PAYC,6/16/17,Tom,,69.36,3.5869999999999997,0.35100000000000003
73,TXT,6/16/17,David,14.0,47.21,-0.26899999999999996,0.35100000000000003
74,CMG,5/19/17,Tom,,484.99,1.084,0.38299999999999995
75,ODFL,5/19/17,David,6.0,56.59,1.972,0.38299999999999995
76,MAR,4/21/17,Tom,,88.9,0.009000000000000001,0.405
77,FTNT,4/21/17,David,8.0,39.53,2.458,0.405
78,WAL,3/17/17,Tom,,50.78,-0.23600000000000002,0.39
79,BDX,3/17/17,David,12.0,176.12,0.349,0.39
80,BWA,2/17/17,Tom,,40.04,-0.145,0.408
81,TSCO,2/17/17,David,7.0,68.45,0.865,0.408
82,ROL,1/20/17,Tom,,21.76,0.9229999999999999,0.46
83,NVDA,1/20/17,David,5.0,102.81,2.603,0.46
84,MA,12/16/16,Tom,,101.26,1.9280000000000002,0.47100000000000003
85,MASI,12/16/16,David,5.0,66.55,2.396,0.47100000000000003
86,MKL,11/18/16,Tom,,882.92,0.054000000000000006,0.525
87,JBLU,11/18/16,David,15.0,20.73,-0.45,0.525
88,NKE,10/21/16,Tom,,49.55,0.9329999999999999,0.557
89,PAC,10/21/16,David,8.0,89.01,-0.18899999999999997,0.557
90,SBUX,9/16/16,Tom,,49.87,0.512,0.561
91,ALKS,9/16/16,David,14.0,49.52,-0.629,0.561
92,FB,8/19/16,Tom,,123.56,0.9329999999999999,0.532
93,MTCH,8/19/16,David,9.0,15.12,5.33,0.532
94,SHOP,7/15/16,Tom,,32.32,26.259,0.551
95,TMUS,7/15/16,David,12.0,44.41,1.4069999999999998,0.551
96,SIVB,6/17/16,Tom,,98.61,1.25,0.621
97,ECL,6/17/16,David,7.0,113.53,0.76,0.621
98,BRK.B,5/20/16,Tom,,141.83,0.267,0.639
99,STMP,5/20/16,David,10.0,81.58,1.1520000000000001,0.639
100,MTCH,4/15/16,David,9.0,10.79,7.87,0.62
101,WDAY,3/18/16,Tom,,72.0,1.5490000000000002,0.647
102,ILMN,3/18/16,David,6.0,150.24,1.454,0.647
103,GOOG,2/19/16,Tom,,700.91,1.043,0.763
104,CRTO Hold,1/22/16,Tom,,30.11,-0.586,0.778
105,TXRH,1/22/16,David,10.0,32.9,0.547,0.778
106,KMI,12/18/15,Tom,,12.74,0.218,0.693
107,NYT,12/18/15,David,10.0,12.87,2.254,0.693
108,AMG,11/20/15,Tom,,169.93,-0.557,0.628
109,BUD,11/20/15,David,15.0,112.95,-0.5529999999999999,0.628
110,ROP,10/16/15,Tom,,168.94,1.3119999999999998,0.677
111,DBI,10/16/15,David,15.0,20.88,-0.6809999999999999,0.677
112,MAR,9/18/15,Tom,,65.45,0.37,0.7440000000000001
113,NVO,9/18/15,David,7.0,51.17,0.32,0.7440000000000001
114,MYL,8/21/15,David,15.0,51.5,-0.6859999999999999,0.735
115,UHAL,7/17/15,David,12.0,326.42,-0.05,0.612
116,CMG,6/19/15,Tom,,615.31,0.643,0.627
117,NDAQ,5/15/15,David,12.0,46.34,1.564,0.62
118,JEF SPB,4/17/15,Tom,,,-0.201,0.6559999999999999
119,CASY,4/17/15,David,9.0,83.44,0.866,0.6559999999999999
120,RH,3/20/15,David,14.0,93.75,1.6680000000000001,0.636
121,FB,2/20/15,Tom,,79.9,1.989,0.637
122,XPO,1/16/15,Tom,,37.56,1.1079999999999999,0.715
123,RPM,1/16/15,David,13.0,40.71,0.853,0.715
124,IBKR,12/19/14,Tom,,27.63,0.504,0.674
125,ATVI,12/19/14,David,10.0,19.38,2.952,0.674
126,MKL,10/17/14,Tom,,647.0,0.439,0.845
127,MKC,10/17/14,David,10.0,60.81,1.8319999999999999,0.845
128,CTSH,9/19/14,Tom,,43.37,0.249,0.7340000000000001
129,JWN,9/19/14,David,18.0,54.5,-0.687,0.7340000000000001
130,BKNG,8/15/14,Tom,,1270.12,0.281,0.7859999999999999
131,SWIR,8/15/14,David,15.0,23.52,-0.605,0.7859999999999999
132,CRTO Hold,7/18/14,Tom,,32.11,-0.612,0.768
133,IDXX,7/18/14,David,8.0,65.62,3.795,0.768
134,SHW,6/20/14,Tom,,192.22,2.042,0.784
135,CGNX,6/20/14,David,8.0,18.55,2.064,0.784
136,LGF.B LGF.A,5/16/14,David,18.0,,-0.713,0.8690000000000001
137,CLB,4/17/14,Tom,,187.7,-0.8959999999999999,0.8859999999999999
138,CRI,4/17/14,David,12.0,67.21,0.254,0.8859999999999999
139,LFUS,3/21/14,David,12.0,90.51,0.8270000000000001,0.8859999999999999
140,CVS,2/21/14,David,10.0,61.62,0.047,0.92
141,JEF SPB,1/17/14,Tom,,,-0.342,0.922
142,CBOE,1/17/14,David,6.0,45.88,1.1520000000000001,0.922
143,H,10/18/13,David,13.0,44.3,0.19699999999999998,1.036
144,UA UAA,9/20/13,Tom,,,-0.5329999999999999,1.081
145,SWIR,9/20/13,David,15.0,14.74,-0.37,1.081
146,TXRH,8/16/13,David,10.0,22.2,1.2919999999999998,1.153
147,MA,6/21/13,Tom,,54.85,4.405,1.246
148,NFLX,6/21/13,David,11.0,30.99,13.642999999999999,1.246
149,MTN,5/17/13,David,9.0,56.36,2.235,1.149
150,MA,4/19/13,Tom,,49.94,4.937,1.3090000000000002
151,IT,3/15/13,Tom,,52.09,1.304,1.304
152,KMX,3/15/13,David,14.0,41.66,1.205,1.304
153,CMG,2/15/13,Tom,,314.19,2.217,1.371
154,WSM,12/21/12,Tom,,35.72,1.3980000000000001,1.527
155,TSLA,11/16/12,Tom,,31.84,30.435,1.665
156,INTU,11/16/12,David,7.0,54.93,4.212,1.665
157,WAB,10/19/12,Tom,,40.08,0.501,1.534
158,DAR,9/21/12,David,16.0,18.14,0.321,1.4909999999999999
159,BKNG,8/17/12,Tom,,588.78,1.7630000000000001,1.57
160,KMI,8/17/12,David,11.0,24.71,-0.37200000000000005,1.57
161,GOOG GOOGL,7/20/12,Tom,,,3.685,1.68
162,TDG,7/20/12,David,12.0,67.0,5.91,1.68
163,DDD,6/15/12,David,17.0,19.74,-0.629,1.725
164,RHI,5/16/12,Tom,,24.58,1.079,1.767
165,LKQ,5/16/12,David,14.0,18.08,0.435,1.767
166,HEI,4/20/12,Tom,,15.74,6.069,1.6640000000000001
167,CLNE,3/16/12,David,13.0,21.05,-0.899,1.62
168,ULTA,1/20/12,Tom,,75.42,1.814,1.807
169,DDD,1/20/12,David,17.0,12.27,-0.402,1.807
170,OII,11/18/11,Tom,,39.98,-0.833,2.048
171,SBUX,11/18/11,David,9.0,18.25,3.13,2.048
172,PEGA,10/21/11,David,11.0,17.21,4.497,1.999
173,WSM,9/16/11,Tom,,27.14,2.155,2.059
174,CMI,9/16/11,David,10.0,78.17,1.23,2.059
175,GLW,8/19/11,David,11.0,11.49,1.325,2.3169999999999997
176,BCPC,7/15/11,Tom,,42.98,1.11,1.838
177,AAPL,6/17/11,David,6.0,39.61,7.83,1.9409999999999998
178,SINA WB,4/15/11,David,12.0,,-0.684,1.844
179,IIVI,3/18/11,David,15.0,23.16,1.123,1.9380000000000002
180,TNC,1/21/11,Tom,,33.62,0.897,1.9380000000000002
181,CGNX,1/21/11,David,8.0,6.85,7.294,1.9380000000000002
182,AMZN,12/17/10,David,8.0,177.58,14.064,2.036
183,WSO,11/19/10,Tom,,42.19,3.2260000000000004,2.1519999999999997
184,GILD,9/17/10,David,10.0,14.87,4.211,2.371
185,DISCK,8/20/10,David,10.0,16.78,0.2,2.5469999999999997
186,NKE,7/16/10,Tom,,15.21,5.296,2.5780000000000003
187,BKNG,6/18/10,David,9.0,193.09,7.426,2.414
188,SAM,5/21/10,David,9.0,58.62,8.106,2.513
189,DISCK,3/19/10,Tom,,8.43,1.1059999999999999,2.305
190,NVDA,12/18/09,David,5.0,15.47,22.94,2.495
191,AFL,11/20/09,Tom,,17.04,1.148,2.535
192,HAS,10/16/09,David,12.0,21.75,2.28,2.556
193,DASTY,9/18/09,David,11.0,26.34,5.426,2.625
194,ADBE,8/21/09,David,8.0,32.84,12.033,2.779
195,IBKR,6/19/09,Tom,,10.99,2.782,3.2260000000000004
196,BRK.B,5/15/09,Tom,,58.0,2.099,3.42
197,MCK,2/20/09,David,12.0,40.75,2.845,4.0969999999999995
198,NATI,1/16/09,Tom,,11.45,2.387,3.635
199,CTAS,12/19/08,Tom,,18.58,13.544,3.448
200,DIS,12/19/08,David,9.0,61.88,6.515,3.448
201,NATI,10/17/08,Tom,,13.06,1.9680000000000002,3.222
202,ATVI,9/19/08,David,10.0,15.52,3.9339999999999997,2.169
203,ILMN,7/18/08,David,6.0,43.12,7.551,2.168
204,AAPL,6/20/08,David,6.0,21.68,15.134,2.035
205,SHW,3/20/08,Tom,,45.33,11.898,2.024
206,CNI,3/20/08,David,6.0,19.25,3.5439999999999996,2.024
207,AAPL,1/18/08,David,6.0,19.96,16.525,2.046
208,NFLX,6/15/07,Tom,,2.82,160.138,1.662
209,BRK.B,4/20/07,Tom,,72.56,1.4769999999999999,1.758
210,MTH,3/16/07,Tom,,32.34,1.27,1.955
211,ARLO NTGR,3/16/07,David,13.0,,0.087,1.955
212,FDX,12/15/06,David,10.0,104.1,0.322,1.886
213,NFLX,9/15/06,David,11.0,3.25,138.79,2.136
214,AFL,6/16/06,Tom,,16.68,1.195,2.323
215,NFLX,6/16/06,David,11.0,3.87,116.111,2.323
216,SBUX,2/17/06,David,9.0,14.94,4.047,2.251
217,WB SINA,11/18/05,David,12.0,,0.58,2.3680000000000003
218,NVDA,4/15/05,David,5.0,6.55,55.58,2.721
219,SAFT,2/18/05,Tom,,17.11,3.397,2.5469999999999997
220,SLAB,1/21/05,Tom,,28.26,2.45,2.656
221,NFLX,12/17/04,David,11.0,1.85,243.687,2.58
222,NFLX,10/1/04,David,11.0,2.33,193.49099999999999,2.7939999999999996
223,DIS,8/20/04,David,9.0,29.58,14.724,2.915
224,WB SINA,7/16/04,David,12.0,,0.596,2.912
225,UNH,5/21/04,Tom,,26.85,9.846,2.949
226,BKNG,5/21/04,David,9.0,23.71,67.617,2.949
227,BAMXF,4/16/04,David,14.0,42.3,0.513,2.8139999999999996
228,DIS,7/11/03,David,9.0,57.27,8.507,3.392
229,HAS,4/11/03,David,12.0,9.62,6.416,4.07
230,DIS,3/7/03,David,9.0,44.86,11.137,4.32
231,ATVI,2/7/03,David,10.0,8.61,46.839,4.325
232,BWA,1/10/03,Tom,,5.76,4.946000000000001,3.7689999999999997
233,FDX,1/10/03,David,10.0,51.2,1.6880000000000002,3.7689999999999997
234,UNH,12/13/02,Tom,,141.82,22.471999999999998,3.9810000000000003
235,DIS,11/8/02,David,9.0,11.81,38.394,3.9610000000000003
236,AMZN,9/6/02,David,8.0,15.31,173.72299999999998,3.9810000000000003
237,ATVI,8/9/02,David,10.0,16.77,23.564,3.907
238,DIS,6/7/02,David,9.0,7.35,62.288000000000004,3.3510000000000004
239,EBAY PYPL,5/10/02,David,9.0,,11.394,3.2439999999999998
240,COST,4/12/02,Tom,,30.45,8.85,3.034
